,Transported,CryoSleep,Age,VIP,,Transported',,VIP,Age,CryoSleep,B_0
1,1,0,24,0,,"0,1831480231",FALSE,"0,04477212229","0,007631167629","0,5848599534",0
4,1,0,16,0,,"0,1220986821",FALSE,,,,
5,1,0,44,0,,"0,3357713757",TRUE,z1',z2',,
6,1,0,26,0,,"0,1984103584",FALSE,"0,2217739837","0,1103914984",,
7,1,1,28,0,,"0,2136726936",FALSE,,,,
8,1,0,35,0,,"0,267090867",FALSE,q1,q2,,
9,1,1,14,0,,"0,1068363468",FALSE,"0,1151324623","0,1047073487",,
10,1,1,34,0,,"0,2594596994",FALSE,,,,
11,1,0,45,0,,"0,3434025433",TRUE,zгр,,,
12,1,0,32,0,,"0,2441973641",FALSE,"0,3120840999",,,
14,1,0,28,0,,"0,2136726936",FALSE,,,,
18,1,1,45,0,,"0,3434025433",TRUE,,,,
19,1,0,0,0,,0,FALSE,,,,
24,1,0,10,0,,"0,07631167629",FALSE,,,,
28,1,1,62,0,,"0,473132393",TRUE,,,,
33,1,0,47,0,,"0,3586648786",TRUE,,,,
34,1,0,2,0,,"0,01526233526",FALSE,,,,
35,1,0,20,0,,"0,1526233526",FALSE,,,,
36,1,1,28,0,,"0,2136726936",FALSE,,,,
41,1,1,17,0,,"0,1297298497",FALSE,,,,
44,1,1,4,0,,"0,03052467052",FALSE,,,,
45,1,1,21,0,,"0,1602545202",FALSE,,,,
47,1,1,19,0,,"0,144992185",FALSE,,,,
51,1,0,25,0,,"0,1907791907",FALSE,,,,
52,1,0,2,0,,"0,01526233526",FALSE,,,,
53,1,1,38,0,,"0,2899843699",FALSE,,,,
54,1,0,27,0,,"0,206041526",FALSE,,,,
58,1,1,15,0,,"0,1144675144",FALSE,,,,
59,1,1,33,0,,"0,2518285318",FALSE,,,,
61,1,1,0,0,,0,FALSE,,,,
62,1,0,18,0,,"0,1373610173",FALSE,,,,
65,1,0,42,0,,"0,3205090404",TRUE,,,,
70,1,0,42,0,,"0,3205090404",TRUE,,,,
71,1,0,27,0,,"0,206041526",FALSE,,,,
72,1,0,28,0,,"0,2136726936",FALSE,,,,
76,1,1,2,0,,"0,01526233526",FALSE,,,,
77,1,0,8,0,,"0,06104934103",FALSE,,,,
78,1,0,24,0,,"0,1831480231",FALSE,,,,
79,1,1,40,0,,"0,3052467052",FALSE,,,,
81,1,1,45,0,,"0,3434025433",TRUE,,,,
82,1,1,35,0,,"0,267090867",FALSE,,,,
83,1,1,26,0,,"0,1984103584",FALSE,,,,
86,1,1,0,0,,0,FALSE,,,,
87,1,1,3,0,,"0,02289350289",FALSE,,,,
90,1,0,26,0,,"0,1984103584",FALSE,,,,
92,1,1,2,0,,"0,01526233526",FALSE,,,,
93,1,1,31,0,,"0,2365661965",FALSE,,,,
95,1,0,24,0,,"0,1831480231",FALSE,,,,
96,1,1,9,0,,"0,06868050866",FALSE,,,,
102,1,0,0,1,,"0,04477212229",FALSE,,,,
105,1,0,42,0,,"0,3205090404",TRUE,,,,
106,1,1,28,0,,"0,2136726936",FALSE,,,,
107,1,1,29,0,,"0,2213038612",FALSE,,,,
108,1,0,48,1,,"0,4110681685",TRUE,,,,
109,1,0,64,0,,"0,4883947283",TRUE,,,,
111,1,1,26,0,,"0,1984103584",FALSE,,,,
112,1,0,33,0,,"0,2518285318",FALSE,,,,
114,1,1,13,0,,"0,09920517918",FALSE,,,,
115,1,1,24,0,,"0,1831480231",FALSE,,,,
118,1,1,67,0,,"0,5112882312",TRUE,,,,
122,1,1,22,0,,"0,1678856878",FALSE,,,,
123,1,1,19,0,,"0,144992185",FALSE,,,,
125,1,0,19,0,,"0,144992185",FALSE,,,,
127,1,1,13,0,,"0,09920517918",FALSE,,,,
129,1,1,35,0,,"0,267090867",FALSE,,,,
130,1,1,24,0,,"0,1831480231",FALSE,,,,
133,1,0,20,0,,"0,1526233526",FALSE,,,,
135,1,1,50,0,,"0,3815583815",TRUE,,,,
137,1,1,27,0,,"0,206041526",FALSE,,,,
141,1,1,26,0,,"0,1984103584",FALSE,,,,
142,1,1,17,0,,"0,1297298497",FALSE,,,,
143,1,0,57,0,,"0,4349765549",TRUE,,,,
145,1,1,35,1,,"0,3118629893",FALSE,,,,
146,1,1,13,0,,"0,09920517918",FALSE,,,,
150,1,1,19,0,,"0,144992185",FALSE,,,,
151,1,1,32,0,,"0,2441973641",FALSE,,,,
152,1,1,58,0,,"0,4426077225",TRUE,,,,
156,1,0,19,0,,"0,144992185",FALSE,,,,
158,1,0,3,0,,"0,02289350289",FALSE,,,,
160,1,1,24,0,,"0,1831480231",FALSE,,,,
161,1,0,37,0,,"0,2823532023",FALSE,,,,
163,1,1,56,0,,"0,4273453872",TRUE,,,,
166,1,1,1,0,,"0,007631167629",FALSE,,,,
169,1,1,2,0,,"0,01526233526",FALSE,,,,
171,1,0,0,0,,0,FALSE,,,,
172,1,0,39,0,,"0,2976155375",FALSE,,,,
175,1,1,52,0,,"0,3968207167",TRUE,,,,
177,1,1,15,0,,"0,1144675144",FALSE,,,,
178,1,1,35,0,,"0,267090867",FALSE,,,,
179,1,1,47,0,,"0,3586648786",TRUE,,,,
180,1,1,45,0,,"0,3434025433",TRUE,,,,
181,1,0,27,0,,"0,206041526",FALSE,,,,
182,1,1,51,0,,"0,3891895491",TRUE,,,,
184,1,0,27,0,,"0,206041526",FALSE,,,,
186,1,1,24,0,,"0,1831480231",FALSE,,,,
187,1,0,29,0,,"0,2213038612",FALSE,,,,
188,1,1,11,0,,"0,08394284392",FALSE,,,,
195,1,1,19,0,,"0,144992185",FALSE,,,,
196,1,1,2,0,,"0,01526233526",FALSE,,,,
197,1,0,0,0,,0,FALSE,,,,
202,1,1,15,0,,"0,1144675144",FALSE,,,,
206,1,1,21,0,,"0,1602545202",FALSE,,,,
211,1,1,24,0,,"0,1831480231",FALSE,,,,
212,1,1,16,0,,"0,1220986821",FALSE,,,,
215,1,1,58,0,,"0,4426077225",TRUE,,,,
221,1,1,42,0,,"0,3205090404",TRUE,,,,
223,1,1,35,0,,"0,267090867",FALSE,,,,
227,1,1,43,0,,"0,3281402081",TRUE,,,,
228,1,1,14,1,,"0,1516084691",FALSE,,,,
229,1,0,46,0,,"0,3510337109",TRUE,,,,
234,1,1,54,0,,"0,412083052",TRUE,,,,
237,1,0,21,0,,"0,1602545202",FALSE,,,,
238,1,1,24,0,,"0,1831480231",FALSE,,,,
240,1,1,60,0,,"0,4578700578",TRUE,,,,
244,1,1,28,0,,"0,2136726936",FALSE,,,,
245,1,1,39,0,,"0,2976155375",FALSE,,,,
247,1,0,47,0,,"0,3586648786",TRUE,,,,
249,1,1,27,0,,"0,206041526",FALSE,,,,
250,1,0,50,0,,"0,3815583815",TRUE,,,,
253,1,0,19,0,,"0,144992185",FALSE,,,,
254,1,0,21,0,,"0,1602545202",FALSE,,,,
255,1,1,29,0,,"0,2213038612",FALSE,,,,
256,1,0,22,0,,"0,1678856878",FALSE,,,,
257,1,1,14,0,,"0,1068363468",FALSE,,,,
258,1,1,42,0,,"0,3205090404",TRUE,,,,
260,1,1,39,0,,"0,2976155375",FALSE,,,,
263,1,1,19,0,,"0,144992185",FALSE,,,,
264,1,0,26,0,,"0,1984103584",FALSE,,,,
265,1,1,17,0,,"0,1297298497",FALSE,,,,
266,1,1,43,0,,"0,3281402081",TRUE,,,,
267,1,0,9,0,,"0,06868050866",FALSE,,,,
268,1,0,40,0,,"0,3052467052",FALSE,,,,
269,1,1,50,0,,"0,3815583815",TRUE,,,,
270,1,0,24,0,,"0,1831480231",FALSE,,,,
271,1,1,57,0,,"0,4349765549",TRUE,,,,
274,1,1,23,0,,"0,1755168555",FALSE,,,,
278,1,0,18,0,,"0,1373610173",FALSE,,,,
281,1,0,60,0,,"0,4578700578",TRUE,,,,
282,1,1,27,0,,"0,206041526",FALSE,,,,
283,1,0,49,0,,"0,3739272138",TRUE,,,,
284,1,0,0,0,,0,FALSE,,,,
286,1,1,35,0,,"0,267090867",FALSE,,,,
287,1,0,24,0,,"0,1831480231",FALSE,,,,
288,1,1,20,0,,"0,1526233526",FALSE,,,,
295,1,0,19,0,,"0,144992185",FALSE,,,,
296,1,0,2,0,,"0,01526233526",FALSE,,,,
297,1,0,32,0,,"0,2441973641",FALSE,,,,
300,1,1,29,0,,"0,2213038612",FALSE,,,,
303,1,1,2,0,,"0,01526233526",FALSE,,,,
