,Transported,HomePlanet,CryoSleep,Age,VIP
0,False,0.0,False,39.0,False
1,True,1.0,False,24.0,False
2,False,0.0,False,58.0,True
3,False,0.0,False,33.0,False
4,True,1.0,False,16.0,False
5,True,1.0,False,44.0,False
6,True,1.0,False,26.0,False
7,True,1.0,True,28.0,False
8,True,1.0,False,35.0,False
9,True,0.0,True,14.0,False
10,True,0.0,True,34.0,False
11,True,0.0,False,45.0,False
12,True,3.0,False,32.0,False
13,False,1.0,False,48.0,False
14,True,1.0,False,28.0,False
15,False,1.0,False,31.0,False
16,False,3.0,False,27.0,False
17,False,1.0,False,24.0,False
18,True,3.0,True,45.0,False
19,True,1.0,False,0.0,False
20,False,1.0,False,14.0,False
21,False,1.0,True,1.0,False
22,False,1.0,True,49.0,False
23,False,1.0,True,29.0,False
24,True,1.0,False,10.0,False
25,False,1.0,True,1.0,False
26,False,1.0,False,7.0,False
27,False,3.0,False,21.0,False
28,True,0.0,True,62.0,False
29,False,1.0,False,15.0,False
30,False,0.0,False,34.0,False
31,False,3.0,False,43.0,False
32,False,1.0,False,32.0,False
33,True,3.0,False,47.0,False
34,True,3.0,False,2.0,False
35,True,3.0,False,20.0,False
36,True,0.0,True,28.0,False
37,False,3.0,False,23.0,False
38,False,1.0,False,15.0,True
39,False,1.0,False,20.0,False
40,False,1.0,True,30.0,False
41,True,1.0,True,17.0,False
42,False,0.0,False,45.0,False
43,False,1.0,True,55.0,False
44,True,1.0,True,4.0,False
45,True,1.0,True,21.0,False
46,False,3.0,False,21.0,False
47,True,3.0,True,19.0,False
48,False,1.0,False,35.0,False
49,False,1.0,False,56.0,False
50,False,1.0,False,27.0,False
51,True,1.0,False,25.0,False
52,True,0.0,False,2.0,False
53,True,0.0,True,38.0,False
54,True,0.0,False,27.0,False
55,False,1.0,True,36.0,False
56,False,1.0,False,22.0,False
57,False,1.0,False,62.0,False
58,True,3.0,True,15.0,False
59,True,,True,33.0,False
60,False,1.0,False,62.0,False
61,True,1.0,True,0.0,False
62,True,1.0,False,18.0,False
63,False,1.0,False,21.0,False
64,False,3.0,False,27.0,False
65,True,1.0,False,42.0,False
66,False,1.0,False,19.0,False
67,False,1.0,False,17.0,False
68,False,1.0,False,14.0,False
69,False,3.0,False,37.0,False
70,True,0.0,False,42.0,False
71,True,3.0,False,27.0,False
72,True,3.0,False,28.0,False
73,False,0.0,False,38.0,False
74,False,1.0,True,13.0,False
75,False,3.0,False,42.0,False
76,True,3.0,True,2.0,False
77,True,3.0,False,8.0,False
78,True,1.0,False,24.0,False
79,True,0.0,True,40.0,False
80,False,1.0,False,43.0,False
81,True,3.0,True,45.0,False
82,True,1.0,True,35.0,False
83,True,1.0,True,26.0,False
84,False,1.0,False,27.0,False
85,False,1.0,False,19.0,False
86,True,1.0,True,0.0,False
87,True,1.0,True,3.0,False
88,False,0.0,False,54.0,False
89,False,1.0,False,26.0,False
90,True,1.0,False,26.0,False
91,False,1.0,False,23.0,False
92,True,1.0,True,2.0,False
93,True,3.0,True,31.0,False
94,False,1.0,False,18.0,False
95,True,1.0,False,24.0,False
96,True,1.0,True,9.0,False
97,False,1.0,True,6.0,False
98,False,1.0,True,27.0,False
99,False,3.0,False,21.0,False
100,False,1.0,True,23.0,False
101,False,1.0,False,31.0,False
102,True,1.0,False,0.0,True
103,False,0.0,False,32.0,False
104,False,0.0,True,40.0,False
105,True,0.0,False,42.0,False
106,True,0.0,True,28.0,False
107,True,0.0,True,29.0,False
108,True,0.0,False,48.0,True
109,True,1.0,False,64.0,False
110,False,1.0,False,27.0,False
111,True,3.0,True,26.0,False
112,True,0.0,False,33.0,False
113,False,,False,39.0,False
114,True,0.0,True,13.0,False
115,True,3.0,True,24.0,False
116,False,1.0,False,29.0,False
